=== ORIGINAL ===
####################################################################################################
#                                                                                                  #
#          C              X         C                                                              #
#                                                                                                  #
#                     X X X                                                                        #
#                                                                                                  #
#                                                                                                  #
#             X                                                                                    #
#          C                                                                                       #
#                            X X X X                                                               #
#                     X                                                                            #
#             X                                                                                    #
#                            X                                                                     #
#                                                                                                  #
#       C                    X                                                                     #
#                  X         X                                                                     #
#                            X X X X   XXX                                                         #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                       XX                                                                         #
#                       XX                                                                         #
#                                                                                                  #
#                                                                                                  #
#                                    X                                                             #
#                       XX XX  XX  X X X          X  X  X                                          #
#                                   X X                    X                                       #
#                                    X            X        X                                       #
#                                                    X  X  X                                       #
#                                               P                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#C                                                                                                 #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#   C                                                                                              #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#      C     C                                                                                     #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
####################################################################################################

